ID	ALIGNMENT	COGIDS	CONCEPT	CONCEPTICON	DOCULECT	FORM	MORPHEMES	SUBGROUP	TOKENS	VALUE	BORIDS	PATIDS	NOTE
9217	w a ʕ a j a ʕ a	940	fox	1312	Pilaga	waʕayaʕa		Guaicuruan	w a ʕ a j a ʕ a	waʕayaʕa			
9218	None	1781	rabbit	1136	Pilaga	nes'onaq		Guaicuruan	n e s ʔ o n a q	nes'onaq			
9219	q o s iː k j o ʕ oi	6063	grasshopper	607	Pilaga	qosiikioʕoi		Guaicuruan	q o s iː k j o ʕ oi	qosiikioʕoi			
9220	s a w a ʕ ai + k	430 2298	lion	1386	Pilaga	sawaʕai+k		Guaicuruan	s a w a ʕ ai + k	sawaʕai+k			puma
9221	p e g a ʕ a + kʔ o ʕ o t	434 6064	foal, colt	1647	Pilaga	pegaʕa+k'oʕot		Guaicuruan	p e g a ʕ a + kʔ o ʕ o t	pegaʕa+k'oʕot			
9222	p e g a q	435	horse (equine)	615	Pilaga	pegaq		Guaicuruan	p e g a q	pegaq			
9223	None	2931 5522 6065 6066	beeswax	1931	Pilaga	l+apaʕat l+'oʕonek		Guaicuruan	l + a p a ʕ a t + l + ʔ o ʕ o n e k	l+apaʕat l+'oʕonek			
9224	None	6067	pasture	649	Pilaga	hato'		Guaicuruan	h a t o ʔ	hato'			
9225	None	6068	pasture	649	Pilaga	nelot		Guaicuruan	n e l o t	nelot			
9226	None	6069 5527	scorpion	1538	Pilaga	noʕopi+k		Guaicuruan	n o ʕ o p i + k	noʕopi+k			
9227	n o ʕ o p i + l + a tʔ e	6069 2933 6070	scorpion	1538	Pilaga	noʕopi+l+at'e		Guaicuruan	n o ʕ o p i + l + a tʔ e	noʕopi+l+at'e			Alacrán
9228	None	2302	chicken	1318	Pilaga	'olegaʕa		Guaicuruan	ʔ o l e g a ʕ a	'olegaʕa			
9229	None	5528 5529	sandfly (midge), gnat	95	Pilaga	chet+ole		Guaicuruan	tʃ e t + o l e	chet+ole			
9230	None	442	ram	1344	Pilaga	toek		Guaicuruan	t o e k	toek			
9231	None	953	mule	890	Pilaga	mola		Guaicuruan	m o l a	mola			
9232	None	6071	butterfly	1791	Pilaga	petoʕoloʕo		Guaicuruan	p e t o ʕ o l o ʕ o	petoʕoloʕo			
9233	None	958 5534	cattle (bovine)	1153	Pilaga	waka+pi		Guaicuruan	w a k a + p i	waka+pi			
9234	l + ʔ o ʕ o n e k	3431 3638 6072	beehive	88	Pilaga	l+'oʕon+ek	_:poss beehive	Guaicuruan	l + ʔ o ʕ o n e k	l+'oʕon+ek			
9235	None	2311	sheep	1331	Pilaga	n'anaʕate		Guaicuruan	n ʔ a n a ʕ a t e	n'anaʕate			
9236	l + oi d i + s e	4601 6073 2949	fin (dorsal)	213	Pilaga	loidise	_:poss back _:?	Guaicuruan	l + oi d i + s e	loidise			
9237	None	3965	vulture	1185	Pilaga	pohe		Guaicuruan	p o h e	pohe			
9238	None	451	freshwater eel	1013	Pilaga	win		Guaicuruan	w i n	win			
9239	t o d o	2312	bull	1008	Pilaga	todo		Guaicuruan	t o d o	todo			
9240	None	1804 5141	mare	938	Pilaga	pegaʕa+yawo		Guaicuruan	p e g a ʕ a + j a w o	pegaʕa+yawo			
9241	ɲ iː ʔ l o l a	5542 6074 1805	ox	1169	Pilaga	ñii'lola		Guaicuruan	ɲ iː ʔ l o l a	ñii'lola			IDS only. Segmented there, but I can't edit it
9242	p o t ai	455	bear	1820	Pilaga	potae		Guaicuruan	p o t ai	potae			Anteater
9243	None	457	ass, donkey	1862	Pilaga	asena		Guaicuruan	a s e n a	asena			
9244	p o t a e + l a m e k	5313 6075 6076	hawk	307	Pilaga	potae+lamek	bear liver	Guaicuruan	p o t a e + l a m e k	potaelamek			
9245	None	289 290	wasp	1517	Pilaga	l+apaʕat	_:poss insect	Guaicuruan	l + a p a ʕ a t	lapaʕat			
9246	None	462 6077	cure, heal	499	Pilaga	tadentan+aʕak		Guaicuruan	t a d e n t a n + a ʕ a k	tadentan+aʕak			
9247	None	2319 2320	armpit	1886	Pilaga	le+saqtaki'		Guaicuruan	l e + s a q t a k i ʔ	le+saqtaki'			
9248	None	6078	waist	1681	Pilaga	lachaʕañi		Guaicuruan	l a tʃ a ʕ a ɲ i	lachaʕañi			
9249	None	2974 464	deaf	996	Pilaga	chiyoʕo+sek		Guaicuruan	tʃ i j o ʕ o + s e k	chiyoʕo+sek			
9250	None	3927 2975	defecate	676	Pilaga	n+ola		Guaicuruan	n + o l a	n+ola			
9251	None	6 6079 2327	kidney	489	Pilaga	li+chii+se		Guaicuruan	l i + tʃ iː + s e	li+chii+se			
9252	None	5546 468	rib	801	Pilaga	ni+cheset		Guaicuruan	n i + tʃ e s e t	ni+cheset			
9253	n + a j a t	5153 2981	breathe, breath	3183	Pilaga	n+ayat		Guaicuruan	n + a j a t	n+ayat			
9254	None	6080	have sexual intercourse	1785	Pilaga	naʕawaʕak		Guaicuruan	n a ʕ a w a ʕ a k	naʕawaʕak			No queda claro si es un verbo o un sustantivo. También hay n'oeyaxak: sexo
9255	n + ʔ ai t e + l o + ʔ o k	2332 2333 986	eyelid	17	Pilaga	n+'aete lo+'ok	_:poss eye _:poss skin	Guaicuruan	n + ʔ ai t e + l o + ʔ o k	n'aete lo'ok			
9256	n i j i + ɲ i	2990 6081 2338	born (to be)	1090	Pilaga	niyi+ñi	be.born _:down	Guaicuruan	n i j i + ɲ i	niyiñi			
9257	ʔ k e t + ai k	472 473	bald	1125	Pilaga	'ket+aik		Guaicuruan	ʔ k e t + ai k	'ket+aik			
9258	None	990 1825 6082	dribble	268	Pilaga	net+eta+ñi		Guaicuruan	n e t + e t a + ɲ i	net+eta+ñi			
9259	None	1828 2343 6083	rest	168	Pilaga	ne+mat+aʕak		Guaicuruan	n e + m a t + a ʕ a k	ne+mat+aʕak			
9260	n + l o t e k e	2332 1831	eyelash	1540	Pilaga	n+loteke	_:poss eyelash	Guaicuruan	n + l o t e k e	nloteke			
9261	None	2347 2346 5551 993 6084	nostril	1178	Pilaga	li+mii+l+aak+o		Guaicuruan	l i + m iː + l + aː k + o	li+mii+l+aak+o			
9262	None	1834 994	weak	1601	Pilaga	yi+lawta		Guaicuruan	j i + l a w t a	yi+lawta			
9263	None	1837 4939 6085	tired, weary	1757	Pilaga	ni+lii+ñi		Guaicuruan	n i + l iː + ɲ i	ni+lii+ñi			
9264	ʔ o w a + ʕ ai k	2348 3688	drowned	3187	Pilaga	'owa+ʕaik		Guaicuruan	ʔ o w a + ʕ ai k	'owa+ʕaik			
9265	w a l ai + k	1842 1841	lazy	1564	Pilaga	walai+k		Guaicuruan	w a l ai + k	walai+k			
9266	None	1845 2350	bathe	138	Pilaga	n+achil	_:3ps ?	Guaicuruan	n + a tʃ i l	n+achil			
9267	l a + q ai k + l + ai	5163 6086 5162 1003	side of head, temple	1604	Pilaga	la+qaik l+ai		Guaicuruan	l a + q ai k + l + ai	la+qaik l+ai			
9268	None	6087	collarbone	1994	Pilaga	namap		Guaicuruan	n a m a p	namap			
9269	None	6088	pregnant	1123	Pilaga	qow'aʕe		Guaicuruan	q o w ʔ a ʕ e	qow'aʕe			
9270	None	1849	boil (noun)	793	Pilaga	senaʕa		Guaicuruan	s e n a ʕ a	senaʕa			
9271	None	481	eyebrow	1173	Pilaga	qae'pa		Guaicuruan	q a e ʔ p a	qae'pa			
9272	None	2351 1009	hiccough	162	Pilaga	le+maʕa		Guaicuruan	l e + m a ʕ a	le+maʕa			
9273	None	6089 5558 6090	blink	1655	Pilaga	na+qatagoʕo+ñi		Guaicuruan	n a + q a t a g o ʕ o + ɲ i	na+qatagoʕo+ñi			
9274	n + a p j a ʔ + l + i ɲ i	6091 572 289 1855	footprint	318	Pilaga	n+apia+'li+ñi	_:poss foot _:poss mark	Guaicuruan	n + a p j a ʔ + l + i ɲ i	napia'liñi			
9275	l e + ˀw e n + a ʕ a n + a ʕ a t	5173 6093 484 2354	poison	655	Pilaga	le+'wen+aʕan+aʕat	_:poss poison _:val _:nmlz	Guaicuruan	l e + ˀw e n + a ʕ a n + a ʕ a t	le'wenaʕanaʕat			
9276	n e + s oi j a q a + ɲ i	3023 6094 2356	perspire	126	Pilaga	ne+soiyaqa+ñi		Guaicuruan	n e + s oi j a q a + ɲ i	ne+soiyaqa+ñi			
9277	d a + q ai g o ʕ o + s o ʕ o + t a k	2357 6095 485 3024	cough	879	Pilaga	da+qaigoʕo+soʕo+tak		Guaicuruan	d a + q ai g o ʕ o + s o ʕ o + t a k	da+qaigoʕo+soʕo+tak			
9278	n a q ai l j a ʕ a	6096	dandruff	576	Pilaga	naqailyaʕa		Guaicuruan	n a q ai l j a ʕ a	naqailyaʕa			
9279	None	6097 1019 1861	snore	1983	Pilaga	no+qolo+tak		Guaicuruan	n o + q o l o + t a k	no+qolo+tak			
9280	None	6098	corpse	767	Pilaga	naqatak		Guaicuruan	n a q a t a k	naqatak			
9281	None	6099	break wind	1159	Pilaga	niñe'		Guaicuruan	n i ɲ e ʔ	niñe'			
9282	l o + t e t e + l a + q ai k	5567 49 5568 1023	nipple, teat	796	Pilaga	lo+tete la+qaik	_:poss breast _:poss head	Guaicuruan	l o + t e t e + l a + q ai k	lotete laqaik			
9283	None	6100 2362	hip	1745	Pilaga	ni+ye		Guaicuruan	n i + j e	ni+ye			
9284	None	6101 2364 2363 2365	earlobe	18	Pilaga	ne+ketela l+ta'am		Guaicuruan	n e + k e t e l a + l + t a ʔ a m	ne+ketela l+ta'am			
9285	None	1873	sick, sickness	1847	Pilaga	napiten'a		Guaicuruan	n a p i t e n ʔ a	napiten'a			ILLNESS
9286	q o ʔ w a + ʕ ai	2369 3998	conceive	1087	Pilaga	qo'wa+ʕai		Guaicuruan	q o ʔ w a + ʕ ai	qo'wa+ʕai			
9287	None	6102 5572 1030	bury (the dead)	1719	Pilaga	yi+sii+ñi	_:3sg ? _:down	Guaicuruan	j i + s iː + ɲ i	yi+sii+ñi			
9288	None	6103 2373	throat	1346	Pilaga	no+qoechiyi		Guaicuruan	n o + q o e tʃ i j i	no+qoechiyi			
9289	None	5573 3043	udder	154	Pilaga	l+otete		Guaicuruan	l + o t e t e	l+otete			
9290	t a d e n + t a ʕ a n + a ʕ ai + k	2375 1878 2377 2376	physician	597	Pilaga	taden+taʕan+aʕai+k		Guaicuruan	t a d e n + t a ʕ a n + a ʕ ai + k	taden+taʕan+aʕai+k			
9291	None	764	fever	1534	Pilaga	nawaq		Guaicuruan	n a w a q	nawaq			
9292	None	4803 5186 1037	well, health	1364	Pilaga	yi+m+eege		Guaicuruan	j i + m + eː g e	yi+m+eege			
9293	None	6104 5578	spleen	1744	Pilaga	le+tepaq		Guaicuruan	l e + t e p a q	le+tepaq			
9294	l + oi + pˀ i n e k	289 1040 54	spine	805	Pilaga	l+oi+p'inek	_:poss body bone	Guaicuruan	l + oi + pˀ i n e k	loip'inek			
9295	None	1888	bruise	1148	Pilaga	nalat		Guaicuruan	n a l a t	nalat			
9296	None	6105 490 491	lick	319	Pilaga	y+'olke+tak		Guaicuruan	j + ʔ o l k e + t a k	y+'olke+tak			
9297	w a j o d + a ʕ ai + k	2383 4005 1891	lame	320	Pilaga	wayod+aʕai+k		Guaicuruan	w a j o d + a ʕ ai + k	wayod+aʕai+k			
9298	n + a m o + l + a j o + ʕ o t	5580 6106 6107 6108 6109	pubic hair	36	Pilaga	n+amo l+ayo+ʕot		Guaicuruan	n + a m o + l + a j o + ʕ o t	n+amo l+ayo+ʕot			
9299	n e + kʔ a l e t ai j i	1893 6110	live, living, life	3184	Pilaga	ne+k'aletaeyi		Guaicuruan	n e + kʔ a l e t ai j i	ne+k'aletaeyi			
9300	None	1047 6111	naked, bare	590	Pilaga	n+salewaʕa		Guaicuruan	n + s a l e w a ʕ a	n+salewaʕa			En realidad, desnudez
9301	None	2388 6112	sneeze	1621	Pilaga	qasen+aʕak		Guaicuruan	q a s e n + a ʕ a k	qasen+aʕak			Sustantivo
9302	None	3064 2388	sneeze	1621	Pilaga	na+qasen		Guaicuruan	n a + q a s e n	na+qasen			Verbo
9303	ʔ o m + a ʕ a d + ai + k	3746 3745 1049 4943	cold (catarrh)	102	Pilaga	'om+aʕad+ai+k		Guaicuruan	ʔ o m + a ʕ a d + ai + k	'om+aʕad+ai+k			
9304	l + i ʔ i	3067	pus	1808	Pilaga	li'i	_:poss pus	Guaicuruan	l + i ʔ i	li'i			
9305	None	3068 6113	stab	3189	Pilaga	yi+sok		Guaicuruan	j i + s o k	yi+sok			
9306	None	6114 1051	blister	1584	Pilaga	na+chepaloʕo		Guaicuruan	n a + tʃ e p a l o ʕ o	na+chepaloʕo			
9307	None	5584 2390 2389 5585 6115 4014	earwax	32	Pilaga	le+ketela l+aak l+'owaʕa		Guaicuruan	l e + k e t e l a + l + aː k + l + ʔ o w a ʕ a	le+ketela l+aak l+'owaʕa			
9308	None	6116 496 2393 2394	calf of leg	498	Pilaga	n+che+l+ta'am		Guaicuruan	n + tʃ e + l + t a ʔ a m	n+che+l+ta'am			
9309	n + kˀ o + ʕ o k i	6117 4813 497	womb	804	Pilaga	n+k'o+ʕoki	_:poss conceive _:loc	Guaicuruan	n + kˀ o + ʕ o k i	nk'oʕoki			
9310	None	6118 498	vein, artery	525	Pilaga	n+'ota	_:poss vein	Guaicuruan	n + ʔ o t a	n'ota			
9311	None	1058 5586 2399	grave, tomb	1773	Pilaga	ne+sen+aqa'		Guaicuruan	n e + s e n + a q a ʔ	ne+sen+aqa'			
9312	None	5202 2477	buttocks	834	Pilaga	n+ate'		Guaicuruan	n + a t e ʔ	n+ate'			
9313	None	1910 6119 1063	beget (of father)	1152	Pilaga	yi+ko'o+n		Guaicuruan	j i + k o ʔ o + n	yi+ko'o+n			
9314	None	5589 500	medicine, drug	1372	Pilaga	l+ata'		Guaicuruan	l + a t a ʔ	l+ata'			nata'. Solo medicine
9315	q a j a w a ʔ t e + l + a q t a q a	2401 2402 6120 289 2404 5883	mute	1666	Pilaga	qayawa'te l+aqtaqa	_:neg.ex _:poss speech	Guaicuruan	q a j a w a ʔ t e + l + a q t a q a	qayawa 'te laqtaqa			
9316	t a ʕ + ai + k	3759 1914 2405	intoxicated	1463	Pilaga	taʕ+ai+k		Guaicuruan	t a ʕ + ai + k	taʕ+ai+k			
9317	None	6121 1070 6122 6 5595 6123	gums	139	Pilaga	no+dae+te l+apa' che	_:3al tooth _:pauc _:poss flesh ?	Guaicuruan	n o + d a e + t e + l + a p a ʔ + tʃ e	no+dae+te l+apa' che			
9318	n + j a ʕ a t a + p oi ʔ o l e	1918 244 6124	thumb	1781	Pilaga	n+iaʕata poy'ole	_:poss finger ?	Guaicuruan	n + j a ʕ a t a + p oi ʔ o l e	niaʕata poy'ole			
9319	None	5039 2165	beak	73	Pilaga	n+asep	_:poss lip	Guaicuruan	n + a s e p	nasep			
9320	None	5598 2410 5208	swelling	1903	Pilaga	l+alaach+i		Guaicuruan	l + a l aː tʃ + i	l+alaach+i			
9321	None	1923 2412	shiver	52	Pilaga	di+wiloʕol		Guaicuruan	d i + w i l o ʕ o l	di+wiloʕol			
9322	l + o d ai t e + l + a n o j i + s e	2413 3088 2415 2417 2418	molartooth	1049	Pilaga	l+odaite l+anoyi+se		Guaicuruan	l + o d ai t e + l + a n o j i + s e	l+odaite l+anoyi+se			
9323	None	2419 3772	ankle	803	Pilaga	li+kiyokena		Guaicuruan	l i + k i j o k e n a	li+kiyokena			
9324	None	5601 6125 2422	wound, sore	1109	Pilaga	le+'kemaʕa+set		Guaicuruan	l e + ʔ k e m a ʕ a + s e t	le+'kemaʕa+set			
9325	s i k j e + t p i j e	2423	itch	148	Pilaga	sikietpiye	itch _:asp	Guaicuruan	s i k j e + t p i j e	sikietpiye			I guessed 'sikie' is cognate with 'shiqui' and tpiye is 'tapiyi'
9326	None	1085 2425	scar	497	Pilaga	yibidi+ñi		Guaicuruan	j i w i d i + ɲ i	yibidi+ñi			Verbo
9327	None	1933 2426 1935	wake up	1602	Pilaga	ne+lo+yi	_:3sg look _:dir	Guaicuruan	n e + l o + j i	neloyi			intransitive
9328	None	6126 3787 1938 6127	shoulderblade	172	Pilaga	n+palte'ta la+mo		Guaicuruan	n + p a l t e ʔ t a + l a + m o	n+palte'ta la+mo			
9329	None	2428	blind	1653	Pilaga	qanam		Guaicuruan	q a n a m	qanam			
9330	e m eː + l + ʔ ai t e	6128 289 1944	window	1375	Pilaga	emee+l+'aite	house _:poss eye	Guaicuruan	e m eː + l + ʔ ai t e	emeel'aite			
9331	None	1094	shut, close	1046	Pilaga	napadichiyi		Guaicuruan	n a p a d i tʃ i j i	napadichiyi			
9332	None	5222 5224	curse	8	Pilaga	yitobi+ñi		Guaicuruan	j i t o w i + ɲ i	yitobi+ñi			
9333	None	1953 1097 2434	ladder	1464	Pilaga	n+api+aʕala'		Guaicuruan	n + a p i + a ʕ a l a ʔ	n+api+aʕala'			
9334	None	5228 4950 6129	pile up	1576	Pilaga	l+apoo+segem		Guaicuruan	l + a p oː + s e g e m	l+apoo+segem			
9335	n ai ʔ + o l e + k	6130 2114 514	cousin	1643	Pilaga	nay'+ole+k	cousin _:dim _:masc	Guaicuruan	n ai ʔ + o l e + k	nay'olek			in feminine, also 'niece'
9336	None	5607 6131 3104 6132	swallow	897	Pilaga	yi+woʕon+a+ñi		Guaicuruan	j i + w o ʕ o n + a + ɲ i	yi+woʕon+a+ñi			
9337	l + ʔ a tʃ a q a ʔ	289 5610	place	723	Pilaga	l+'achaqa'	_:poss place	Guaicuruan	l + ʔ a tʃ a q a ʔ	l'achaqa'			
9338	None	5231 5611 1962	fear, fright	781	Pilaga	lo+qolan+aʕa		Guaicuruan	l o + q o l a n + a ʕ a	lo+qolan+aʕa			
9339	None	6133 1102 6134	statue	1002	Pilaga	l+adenaqt+ak		Guaicuruan	l + a d e n a q t + a k	l+adenaqt+ak			
9340	None	1970 4035 3810 1968	join, unite	1743	Pilaga	yi+waa+yaʕan+a't		Guaicuruan	j i + w aː + j a ʕ a n + a ʔ t	yi+waa+yaʕan+a't			
9341	a l e w a + l + o ʔ o	583 289 1104	potter	359	Pilaga	alewa l+o'o	earth _:poss master	Guaicuruan	a l e w a + l + o ʔ o	alewa lo'o			
9342	h a l a + ʕ ai + k	5620 3813 1973	insane, crazy	1899	Pilaga	hala+ʕai+k		Guaicuruan	h a l a + ʕ ai + k	hala+ʕai+k			
9343	None	345	shade, shadow	1388	Pilaga	paqal		Guaicuruan	p a q a l	paqal			
9344	n e + tˀ a + l	5238 177 289	parents	505	Pilaga	ne+t'a+l	_:poss father _:pauc	Guaicuruan	n e + tˀ a + l	net'al			
9345	None	6136 6137 6138 5239	calm (of sea)	258	Pilaga	n+to+chi+iñi		Guaicuruan	n + t o + tʃ i + i ɲ i	n+to+chi+iñi			
9346	None	5622 5623 5624 5625	shield	1064	Pilaga	le+kepaqt+aʕan+aqte		Guaicuruan	l e + k e p a q t + a ʕ a n + a q t e	le+kepaqt+aʕan+aqte			
9347	None	32 4565 484	write	1672	Pilaga	de+d+aʕan	_:3sg write _:val	Guaicuruan	d e + d + a ʕ a n	dedaʕan			
9348	None	5629 5628 5630 3116	garden-house	403	Pilaga	l+an+aʕan+qa'		Guaicuruan	l + a n + a ʕ a n + q a ʔ	l+an+aʕan+qa'			
9349	None	5242 1988 4043 5631	booty, spoils	1022	Pilaga	le+wot+aʕan+aʕat		Guaicuruan	l e + w o t + a ʕ a n + a ʕ a t	le+wot+aʕan+aʕat			
9350	None	3124 3119	pity	1141	Pilaga	yi+choʕoden		Guaicuruan	j i + tʃ o ʕ o d e n	yi+choʕoden			
9351	None	2441	plant (noun)	653	Pilaga	nana		Guaicuruan	n a n a	nana			
9352	None	2442 2443 6139	inside, in	1606	Pilaga	we+ta+awe		Guaicuruan	w e + t a + a w e	we+ta+awe			
9353	l e + kˀ oi + o ʕ o n + a ʕ a + l a t e	6140 5633 6141 2233 19	altar	853	Pilaga	le+k'oy+oʕon+aʕa+late	_:poss burn _:val _:nmlz _:loc	Guaicuruan	l e + kˀ oi + o ʕ o n + a ʕ a + l a t e	lek'oyoʕonaʕalate			IDS
9354	None	5634 3829 4055 4228	hoe	284	Pilaga	l+aseg+aʕan+aqte		Guaicuruan	l + a s e g + a ʕ a n + a q t e	l+aseg+aʕan+aqte			
9355	None	6142	darkness	11	Pilaga	l'alaʕa		Guaicuruan	l ʔ a l a ʕ a	l'alaʕa			
9356	n + a p j a + ʔ t e + l + k o s o + k i ʔ	6143 534 6144 6145 533 6146	stocking, sock	329	Pilaga	n+apia+'te+l+koso+ki'		Guaicuruan	n + a p j a + ʔ t e + l + k o s o + k i ʔ	n+apia+'te+l+koso+ki'			
9357	None	6147 3159	loud	377	Pilaga	yi+sam		Guaicuruan	j i + s a m	yi+sam			
9358	None	3139 4232 5635 5636	paint (noun)	647	Pilaga	lo+qol+aan+aʕat		Guaicuruan	l o + q o l + aː n + a ʕ a t	lo+qol+aan+aʕat			
9359	None	2098	summer	1342	Pilaga	wo'e		Guaicuruan	w o ʔ e	wo'e			
9360	None	1124	blood	946	Quichua	yáar		Quechua	j aː r	yáar			
9361	None	4959	eye	1248	Quichua	ñahui		Quechua	ɲ a w i	ñahui			t. agujero o nudo en la madera
9362	s i m i	6149	mouth	674	Quichua	simi		Quechua	s i m i	simi			
9363	u m a	8	head	1256	Quichua	uma		Quechua	u m a	uma			
9364	None	3146 4233	liver	1224	Quichua	soncko yana		Quechua	s o n q o + j a n a	soncko yana			
9365	None	1127	hand	1277	Quichua	maqui		Quechua	m a k i	maqui			Right hand: ckecka; left hand: llocke
9366	None	3841	nose	1221	Quichua	sencka		Quechua	s e n q a	sencka			
9367	None	6150	ear	1247	Quichua	nigri		Quechua	n i g r i	nigri			"oreja de palo" fungus: nigri puca
9368	None	19 5907	walk	1443	Quichua	púri+y		Quechua	p u r i + j	púri+y			
9369	w ai r a	548	wind	960	Quichua	huaira		Quechua	w ai r a	huaira			
9371	p u k a	550	red	156	Quichua	puca		Quechua	p u k a	puca			
9372	None	6152	egg	744	Quichua	'runtu		Quechua	r u n t u	'runtu			
9373	None	1141 6153	suck	1421	Quichua	choncka+y		Quechua	tʃ o n q a + j	choncka+y			
9374	q aː + j	6154 3162	see	1409	Quichua	ckáa+y	see _:inf	Quechua	q aː + j	ckáay			
9375	None	555	husband	1200	Quichua	ckosa		Quechua	q o s a	ckosa			
9376	w a r m i	28	wife	1199	Quichua	huarmi		Quechua	w a r m i	huarmi			Also woman
9377	u j a r i + j	5344 6155 6156	hear	1408	Quichua	uyári+y	hear _:inf	Quechua	u j a r i + j	uyáriy			
9378	p i ʃ q o	6157	bird	937	Quichua	pishcko		Quechua	p i ʃ q o	pishcko			Generic term. Pillqo in Quechua
9379	u n tʃ i k u	3168	bird	937	Quichua	unchicu		Quechua	u n tʃ i k u	unchicu			Small bird. Probably generic term
9380	tʃ a ʎ w a	4965	fish	227	Quichua	challhua		Quechua	tʃ a ʎ w a	challhua			
9381	None	40	worm	1219	Quichua	uncaca		Quechua	u n k a k a	uncaca			
9382	None	1154	worm	1219	Quichua	curu		Quechua	k u r u	curu			
9383	m a tʃ a x w ai	561	snake	730	Quichua	machájhuay		Quechua	m a tʃ a x w ai	machájhuay			
9384	None	2029	louse	1392	Quichua	usa		Quechua	u s a	usa			
9385	None	2029	louse	1392	Quichua	ita		Quechua	i t a	ita			In Alderetes, bird louse
9386	None	1158	dog	2009	Quichua	ashcko		Quechua	a ʃ q o	ashcko			
9388	q a ʎ u	564	tongue	1205	Quichua	ckallu		Quechua	q a ʎ u	ckallu			
9389	None	6158	neck	1333	Quichua	cunca		Quechua	k u n k a	cunca			
9390	ɲ u ɲ u	1164	breast (of woman)	1402	Quichua	ñuñu		Quechua	ɲ u ɲ u	ñuñu			
9391	tʃ i tʃ i	49	breast (of woman)	1402	Quichua	chichi		Quechua	tʃ i tʃ i	chichi			In principle 'nipple'. By extension
9392	l i x r a	6159	wing	1257	Quichua	lijra		Quechua	l i x r a	lijra			
9393	w a s a	4078	back	1291	Quichua	huasa		Quechua	w a s a	huasa			
9394	t u ʎ u	6160	bone	1394	Quichua	tullu		Quechua	t u ʎ u	tullu			Also 'skinny'
9395	tʃ u ŋ k a	3143	leg	1297	Quichua	chunca		Quechua	tʃ u ŋ k a	chunca			
9396	None	57	foot	1301	Quichua	chaqui		Quechua	tʃ a k i	chaqui			
9397	None	1170	tooth	1380	Quichua	quiru		Quechua	k i r u	quiru			
9398	s o ŋ q o	6161	heart	1223	Quichua	soncko		Quechua	s o ŋ q o	soncko			Also 'entraña, víscera, ánimo, sentimiento, sensibilidad'
9399	None	1175 6162	sleep	1585	Quichua	puñu+y	sleep _:inf	Quechua	p u ɲ u + j	puñuy			
9400	tʃ u p a	6163	tail	1220	Quichua	chupa		Quechua	tʃ u p a	chupa			For animals and birds
9401	None	68 2048	bite	1403	Quichua	cani+y		Quechua	k a n i + j	cani+y			
9402	None	3850 2049	kill	1417	Quichua	huánchi+y	kill _:inf	Quechua	w a n tʃ i + j	huánchiy			
9403	None	3850 579 2049	kill	1417	Quichua	huañú+chi+y	die _:caus _:inf	Quechua	w a ɲ u + tʃ i + j	huañúchiy			
9404	None	580	skin, hide	763	Quichua	ckara	skin	Quechua	q a r a	ckara			
9405	None	1183 6164	vomit	1278	Quichua	chuña+y		Quechua	tʃ u ɲ a + j	chuña+y			
9406	None	6165 1183 6164	vomit	1278	Quichua	huijchu+chi+y		Quechua	w i x tʃ u + tʃ i + j	huijchu+chi+y			
9407	l i x r a	6166	feather	1201	Quichua	lijra		Quechua	l i x r a	lijra			
9408	None	1187	earth (ground, soil)	1228	Quichua	ashpa		Quechua	a ʃ p a	ashpa			
9409	None	6167	narrow	1267	Quichua	llañu		Quechua	l l a ɲ u	llañu			flaco, angosto, delgado
9410	None	5353	narrow	1267	Quichua	quishqui		Quechua	k i ʃ k i	quishqui			
9411	None	6168	fire	221	Quichua	nina		Quechua	n i n a	nina			
9412	None	81 2527	dry	1398	Quichua	chaqui+scka		Quechua	tʃ a k i + s q a	chaqui+scka			
9413	t aː	83	four	1500	Quichua	taa		Quechua	t aː	taa			
9414	None	86	woman	962	Quichua	huarmi		Quechua	w a r m i	huarmi			
9415	q e ʎ u	6169	yellow	1424	Quichua	ckellu		Quechua	q e ʎ u	ckellu			
9416	p aː + j	591 1205	fly (vb)	1441	Quichua	páa+y	fly _:inf	Quechua	p aː + j	páay			
9417	s a p i	592	root	670	Quichua	sapi		Quechua	s a p i	sapi			
9418	None	2060	you (singular)	1215	Quichua	ckam	you	Quechua	q a m	ckam			
9419	None	2061	lake	624	Quichua	cocha		Quechua	k o tʃ a	cocha			In Alderetes
9420	None	95	black	163	Quichua	yana		Quechua	j a n a	yana			
9422	None	97 2064	throw	1456	Quichua	chocka+y		Quechua	tʃ o q a + j	chocka+y			
9423	None	2065 2064	throw	1456	Quichua	huíjchu+y		Quechua	w i x tʃ u + j	huíjchu+y			abandonar, evacuar, echar
9424	w ai t a + j	598 6170	swim	1439	Quichua	huáita+y		Quechua	w ai t a + j	huáita+y			
9425	None	6171	dust	2	Quichua	ashpa		Quechua	a ʃ p a	ashpa			
9426	None	1221	day	1225	Quichua	punchau		Quechua	p u n tʃ a u	punchau			
9427	None	604	who?	1235	Quichua	pi		Quechua	p i	pi			
9428	q o ʎ u r	6172	star	1430	Quichua	ckóllur		Quechua	q o ʎ u r	ckóllur			Apparently in Q. Santiagueño it's a flying star
9429	None	6173	person, human being	683	Quichua	'runa		Quechua	r u n a	'runa			Presently it means 'indigenous'
9430	None	607	person, human being	683	Quichua	ckari		Quechua	q a r i	ckari			
9431	None	1230	right, correct	1725	Quichua	checka		Quechua	tʃ e q a	checka			
